Ani,Valoare
 1990,16665
 1991,15749
 1992,13999
 1993,13604
 1994,13862
 1995,13577
 1996,13804
 1997,13849
 1998,13821
 1999,13785
 2000,13422
 2001,13442
 2002,13377
 2003,13169
 2004,12573
 2005,12455
 2006,12081
 2007,12366
 2008,12359
 2009,12229
 2010,11829
 2011,11630
 2012,11309
 2013,11176
 2014,10845
 2015,10111
 2016,9832
 2017,9594
 2018,9479
 2019,9222
 2020,8829
 2021,8458
 2022,8372
