Ani,Valoare
1990,
1991,-12.9182107298211
1992,-8.7672284522824
1993,1.52883449664077
1994,3.93194272962506
1995,6.23351148371351
1996,3.90770208816159
1997,-4.8490627379703
1998,-2.02981290571721
1999,-0.376660705758994
2000,2.4612634592269
2001,5.21813625673708
2002,5.70299165043771
2003,2.34114732919521
2004,10.4281130180976
2005,4.6681480508487
2006,8.02881107599163
2007,7.23380774362805
2008,9.30746717077338
2009,-5.51739440805439
2010,-3.90123628018621
2011,4.51708696433914
2012,1.92499326240754
2013,0.269963878633803
2014,4.12067496319813
2015,3.16050387041089
2016,2.8575460568877
2017,8.19650650309624
2018,6.02901904128214
2019,3.85316383348211
2020,-3.67751079121797
2021,5.70889455766321
