Ani,Valoare
 1990,668446
 1991,698009
 1992,664406
 1993,630583
 1994,620841
 1995,638558
 1996,646165
 1997,595611
 1998,635361
 1999,635189
 2000,651169
 2001,648389
 2002,693168
 2003,680079
 2004,722635
 2005,695427
 2006,679071
 2007,784958
 2008,739432
 2009,704172
 2010,674713
 2011,536747
 2012,526316
 2013,495128
 2014,557418
 2015,498889
 2016,497632
 2017,501802
 2018,503086
 2019,514930
 2020,476557
 2021,503495
