Ani,Valoare
 1990,28303
 1991,28951
 1992,29129
 1993,29376
 1994,29327
 1995,29536
 1996,29815
 1997,29084
 1998,29409
 1999,27633
 2000,24481
 2001,24304
 2002,23679
 2003,18012
 2004,14396
 2005,11865
 2006,8484
 2007,8230
 2008,8221
 2009,8244
 2010,7588
 2011,7204
 2012,7069
 2013,7074
 2014,7127
 2015,7108
 2016,7010
 2017,7047
 2018,7020
 2019,7001
 2020,6970
 2021,7015
 2022,7072
